0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:48:13 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css.map HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:48:14 +0530] "GET /PizzaWale/static/images/favicon.ico HTTP/1.1" 200 262206
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:48:14 +0530] "GET /PizzaWale/ HTTP/1.1" 200 1597
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:48:14 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:48:14 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css.map HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:48:14 +0530] "GET /PizzaWale/static/images/favicon.ico HTTP/1.1" 200 262206
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:48:14 +0530] "GET /PizzaWale/ HTTP/1.1" 200 1597
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:48:14 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:48:14 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css.map HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:48:14 +0530] "GET /PizzaWale/static/images/favicon.ico HTTP/1.1" 200 262206
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:48:16 +0530] "GET /PizzaWale/ HTTP/1.1" 200 1597
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:48:16 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:48:16 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css.map HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:48:16 +0530] "GET /PizzaWale/static/images/favicon.ico HTTP/1.1" 200 262206
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:49:40 +0530] "GET /PizzaWale/? HTTP/1.1" 200 1635
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:49:40 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:49:40 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css.map HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:01:37 +0530] "GET /PizzaWale/? HTTP/1.1" 200 1635
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:01:37 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:01:37 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css.map HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:01:37 +0530] "GET /PizzaWale/static/images/favicon.ico HTTP/1.1" 200 262206
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:01:40 +0530] "GET /PizzaWale/? HTTP/1.1" 200 1635
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:01:40 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:01:40 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css.map HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:01:40 +0530] "GET /PizzaWale/static/images/favicon.ico HTTP/1.1" 200 262206
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:08:38 +0530] "GET /PizzaWale/? HTTP/1.1" 200 1220
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:08:39 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:08:39 +0530] "GET /PizzaWale/static/images/pizza_background.jpg HTTP/1.1" 200 98762
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:08:39 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css.map HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:08:39 +0530] "GET /PizzaWale/static/images/favicon.ico HTTP/1.1" 200 262206
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:09:00 +0530] "GET /PizzaWale/login HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:09:00 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:09:02 +0530] "GET /PizzaWale/? HTTP/1.1" 200 1220
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:09:02 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:09:02 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css.map HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:09:11 +0530] "GET /PizzaWale/ HTTP/1.1" 200 1220
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:09:11 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:09:11 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css.map HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:09:13 +0530] "GET /PizzaWale/ HTTP/1.1" 200 1220
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:09:13 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:09:13 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css.map HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:09:13 +0530] "GET /PizzaWale/static/images/pizza_background.jpg HTTP/1.1" 200 98762
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:13:41 +0530] "GET /PizzaWale/ HTTP/1.1" 200 3070
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:13:41 +0530] "GET /PizzaWale/static/images/logo.jpg HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:13:42 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:13:42 +0530] "GET /PizzaWale/static/js/angular-cookies.js HTTP/1.1" 200 9739
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:13:42 +0530] "GET /PizzaWale/static/js/ngStorage.min.js HTTP/1.1" 200 2486
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:13:42 +0530] "GET /PizzaWale/static/js/angular-animate.js HTTP/1.1" 200 150696
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:13:42 +0530] "GET /PizzaWale/static/js/app.js HTTP/1.1" 200 1531
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:13:42 +0530] "GET /PizzaWale/static/js/angular-route.js HTTP/1.1" 200 38728
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:13:42 +0530] "GET /PizzaWale/static/app-services/order.service.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:13:42 +0530] "GET /PizzaWale/static/home/home.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:13:42 +0530] "GET /PizzaWale/static/app-services/user.service.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:13:42 +0530] "GET /PizzaWale/static/register/register.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:13:42 +0530] "GET /PizzaWale/static/order/order.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:13:42 +0530] "GET /PizzaWale/static/editorder/editorder.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:13:42 +0530] "GET /PizzaWale/static/end/end.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:13:42 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css.map HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:13:42 +0530] "GET /PizzaWale/static/images/pizza_background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:13:42 +0530] "GET /PizzaWale/static/login/login.controller.js HTTP/1.1" 200 1078
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:13:42 +0530] "GET /PizzaWale/static/js/angular.js HTTP/1.1" 200 1174119
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:13:42 +0530] "GET /PizzaWale/static/app-services/order.service.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:13:42 +0530] "GET /PizzaWale/static/app-services/user.service.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:13:42 +0530] "GET /PizzaWale/static/home/home.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:13:42 +0530] "GET /PizzaWale/static/register/register.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:13:42 +0530] "GET /PizzaWale/static/order/order.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:13:42 +0530] "GET /PizzaWale/static/editorder/editorder.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:13:42 +0530] "GET /PizzaWale/static/end/end.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:13:42 +0530] "GET /PizzaWale/static/home/home.view.html HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:13:42 +0530] "GET /PizzaWale/static/images/favicon.ico HTTP/1.1" 200 262206
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:15:30 +0530] "GET /PizzaWale/ HTTP/1.1" 200 4498
